1	2	[35.679859, 139.706801], [35.680218, 139.705777]
1	20	[35.679859, 139.706801], [35.679895, 139.706775], [35.680153, 139.706989], [35.680254, 139.707074]
1	55	[35.679859, 139.706801], [35.679747, 139.706731], [35.679610, 139.706652], [35.678751, 139.706161], [35.678694, 139.706123]
1	59	[35.679859, 139.706801], [35.679800, 139.706962], [35.679700, 139.707224], [35.679610, 139.707463], [35.679609, 139.707466]
2	1	[35.680218, 139.705777], [35.679859, 139.706801]
2	3	[35.680218, 139.705777], [35.680488, 139.706004], [35.680813, 139.706285], [35.681010, 139.706449], [35.681129, 139.706528]
2	5	[35.680218, 139.705777], [35.680264, 139.705669]
3	2	[35.681129, 139.706528], [35.681010, 139.706449], [35.680813, 139.706285], [35.680488, 139.706004], [35.680218, 139.705777]
3	6	[35.681129, 139.706528], [35.681067, 139.706158], [35.680974, 139.705927], [35.680760, 139.705515], [35.680591, 139.705242], [35.680494, 139.705053]
3	22	[35.681129, 139.706528], [35.681148, 139.706870]
4	9	[35.680206, 139.703597], [35.680229, 139.703736], [35.680303, 139.704188], [35.680363, 139.704555]
4	56	[35.680206, 139.703597], [35.679610, 139.703746], [35.679360, 139.703808], [35.679025, 139.703887], [35.678947, 139.704006]
5	2	[35.680264, 139.705669], [35.680218, 139.705777]
5	6	[35.680264, 139.705669], [35.680435, 139.705227], [35.680494, 139.705053]
5	58	[35.680264, 139.705669], [35.679805, 139.705449], [35.679755, 139.705449], [35.679610, 139.705450], [35.679120, 139.705454], [35.679082, 139.705135], [35.679070, 139.705013]
6	3	[35.680494, 139.705053], [35.680591, 139.705242], [35.680760, 139.705515], [35.680974, 139.705927], [35.681067, 139.706158], [35.681129, 139.706528]
6	5	[35.680494, 139.705053], [35.680435, 139.705227], [35.680264, 139.705669]
6	9	[35.680494, 139.705053], [35.680363, 139.704555]
7	8	[35.680649, 139.704958], [35.680579, 139.704729], [35.680525, 139.704561]
7	9	[35.680649, 139.704958], [35.680363, 139.704555]
7	12	[35.680649, 139.704958], [35.681286, 139.705499], [35.681590, 139.705759], [35.681898, 139.706054]
7	21	[35.680649, 139.704958], [35.680829, 139.705334], [35.681142, 139.705861], [35.681285, 139.706338], [35.681317, 139.706861]
8	7	[35.680525, 139.704561], [35.680579, 139.704729], [35.680649, 139.704958]
8	9	[35.680525, 139.704561], [35.680363, 139.704555]
8	10	[35.680525, 139.704561], [35.680587, 139.704561], [35.680755, 139.704563], [35.681237, 139.704574], [35.681567, 139.704581]
