#time	uid	from	to	dest	grp	keep_via
301	2957	886	0	637	637	0
301	4085	204	0	95	95	0
301	55	886	0	637	637	0
301	2571	136	0	265	265	0
301	157	886	0	637	637	0
301	2954	834	0	637	637	0
301	236	136	0	265	265	0
301	248	886	0	637	637	0
301	4455	136	0	265	265	0
301	298	605	0	370	370	0
301	3716	605	0	370	370	0
301	2981	204	0	95	95	0
301	2980	834	0	637	637	0
301	4391	834	0	637	637	0
301	452	204	0	95	95	0
301	4227	834	0	637	637	0
301	4469	605	0	370	370	0
301	2972	136	0	265	265	0
301	4398	834	0	637	637	0
301	3817	605	0	370	370	0
301	693	605	0	370	370	0
301	4187	834	0	637	637	0
301	3550	605	0	370	370	0
301	4487	605	0	370	370	0
301	3519	834	0	637	637	0
301	792	605	0	370	370	0
301	4082	834	0	637	637	0
301	4286	136	0	265	265	0
301	4827	886	0	637	637	0
301	3622	605	0	370	370	0
301	2734	605	0	370	370	0
301	3119	834	0	637	637	0
301	2907	605	0	370	370	0
301	1016	605	0	370	370	0
301	3512	834	0	637	637	0
301	3476	605	0	370	370	0
301	2778	136	0	265	265	0
301	2559	204	0	95	95	0
301	2726	605	0	370	370	0
301	4657	605	0	370	370	0
301	3145	605	0	370	370	0
301	2565	834	0	637	637	0
301	3740	204	0	95	95	0
301	1278	834	0	637	637	0
301	4872	605	0	370	370	0
301	4086	605	0	370	370	0
301	3042	834	0	637	637	0
301	2760	136	0	265	265	0
301	4698	834	0	637	637	0
301	3835	136	0	265	265	0
301	3272	204	0	95	95	0
301	3293	136	0	265	265	0
301	3379	834	0	637	637	0
301	1838	605	0	370	370	0
301	1840	204	0	95	95	0
301	1852	136	0	265	265	0
301	1953	834	0	637	637	0
301	4623	834	0	637	637	0
301	2005	605	0	370	370	0
301	2019	204	0	95	95	0
301	3220	834	0	637	637	0
301	4419	834	0	637	637	0
301	4356	834	0	637	637	0
301	2057	204	0	95	95	0
301	2939	136	0	265	265	0
301	4930	834	0	637	637	0
301	2108	136	0	265	265	0
301	2135	605	0	370	370	0
301	2138	605	0	370	370	0
301	4052	605	0	370	370	0
301	4451	605	0	370	370	0
301	2288	605	0	370	370	0
301	2328	204	0	95	95	0
302	4890	605	0	370	370	0
302	2693	136	0	265	265	0
302	212	834	0	637	637	0
302	879	605	0	370	370	0
302	1072	605	0	370	370	0
302	4553	204	0	95	95	0
302	3809	204	0	95	95	0
302	4291	605	0	370	370	0
302	3456	605	0	370	370	0
302	2831	605	0	370	370	0
302	2867	834	0	637	637	0
303	3057	136	0	265	265	0
303	96	204	0	95	95	0
303	4406	605	0	370	370	0
303	3088	834	0	637	637	0
303	162	605	0	370	370	0
303	2510	834	0	637	637	0
303	229	204	0	95	95	0
303	322	834	0	637	637	0
303	333	605	0	370	370	0
303	4853	834	0	637	637	0
303	4031	886	0	637	637	0
303	910	136	0	265	265	0
303	1046	834	0	637	637	0
303	3838	834	0	637	637	0
303	1145	605	0	370	370	0
303	1170	605	0	370	370	0
303	4866	886	0	637	637	0
303	4695	136	0	265	265	0
303	4767	834	0	637	637	0
303	1536	605	0	370	370	0
303	1774	605	0	370	370	0
303	3745	834	0	637	637	0
303	4334	605	0	370	370	0
303	2276	136	0	265	265	0
304	51	834	0	637	637	0
304	3776	605	0	370	370	0
304	2685	886	0	637	637	0
304	205	834	0	637	637	0
304	3793	605	0	370	370	0
304	3938	136	0	265	265	0
304	715	605	0	370	370	0
304	3197	834	0	637	637	0
304	3839	605	0	370	370	0
304	3879	605	0	370	370	0
304	3435	834	0	637	637	0
304	1013	834	0	637	637	0
304	3998	834	0	637	637	0
304	3274	886	0	637	637	0
