#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
301	1	1	136	136	265	265	1.000000	false	0
301	2	1	204	204	95	95	1.000000	false	0
301	3	1	605	605	370	370	1.000000	false	0
301	4	1	834	834	637	637	1.000000	false	0
301	5	1	886	886	637	637	1.000000	false	0
601	1	99	136	136	265	265	1.000000	false	0
601	2	99	204	204	95	95	1.000000	false	0
601	3	99	605	605	370	370	1.000000	false	0
601	4	99	834	834	637	637	1.000000	false	0
601	5	99	886	886	637	637	1.000000	false	0
601	1	1	136	136	265	265	1.000000	false	0
601	2	1	204	204	95	95	1.000000	false	0
601	6	1	488	488	296	296	1.000000	false	0
601	3	1	605	605	370	370	1.000000	false	0
601	7	1	637	637	370	370	1.000000	false	0
601	8	1	660	660	246	246	1.000000	false	0
601	9	1	834	834	370	370	1.000000	false	0
601	10	1	886	886	370	370	1.000000	false	0
901	1	99	136	136	265	265	1.000000	false	0
901	2	99	204	204	95	95	1.000000	false	0
901	6	99	488	488	296	296	1.000000	false	0
901	3	99	605	605	370	370	1.000000	false	0
901	7	99	637	637	370	370	1.000000	false	0
901	8	99	660	660	246	246	1.000000	false	0
901	9	99	834	834	370	370	1.000000	false	0
901	10	99	886	886	370	370	1.000000	false	0
901	1	1	136	136	265	265	1.000000	false	0
901	2	1	204	204	95	95	1.000000	false	0
901	11	1	370	370	265	265	1.000000	false	0
901	6	1	488	488	296	296	1.000000	false	0
901	12	1	605	605	265	265	1.000000	false	0
901	13	1	637	637	274	274	1.000000	false	0
901	8	1	660	660	246	246	1.000000	false	0
901	14	1	834	834	274	274	1.000000	false	0
901	15	1	886	886	274	274	1.000000	false	0
1201	1	99	136	136	265	265	1.000000	false	0
1201	2	99	204	204	95	95	1.000000	false	0
1201	11	99	370	370	265	265	1.000000	false	0
1201	6	99	488	488	296	296	1.000000	false	0
1201	12	99	605	605	265	265	1.000000	false	0
1201	13	99	637	637	274	274	1.000000	false	0
1201	8	99	660	660	246	246	1.000000	false	0
1201	14	99	834	834	274	274	1.000000	false	0
1201	15	99	886	886	274	274	1.000000	false	0
1201	1	1	136	136	265	265	1.000000	false	0
1201	2	1	204	204	95	95	1.000000	false	0
1201	11	1	370	370	265	265	1.000000	false	0
1201	6	1	488	488	296	296	1.000000	false	0
1201	12	1	605	605	265	265	1.000000	false	0
1201	13	1	637	637	274	274	1.000000	false	0
1201	8	1	660	660	246	246	1.000000	false	0
1201	14	1	834	834	274	274	1.000000	false	0
1201	15	1	886	886	274	274	1.000000	false	0
1501	1	99	136	136	265	265	1.000000	false	0
1501	2	99	204	204	95	95	1.000000	false	0
1501	11	99	370	370	265	265	1.000000	false	0
1501	6	99	488	488	296	296	1.000000	false	0
1501	12	99	605	605	265	265	1.000000	false	0
1501	13	99	637	637	274	274	1.000000	false	0
1501	8	99	660	660	246	246	1.000000	false	0
1501	14	99	834	834	274	274	1.000000	false	0
1501	15	99	886	886	274	274	1.000000	false	0
1501	16	1	136	136	259	259	1.000000	false	0
1501	2	1	204	204	95	95	1.000000	false	0
1501	17	1	265	265	259	259	1.000000	false	0
1501	18	1	370	370	274	274	1.000000	false	0
1501	6	1	488	488	296	296	1.000000	false	0
1501	19	1	605	605	274	274	1.000000	false	0
1501	13	1	637	637	274	274	1.000000	false	0
1501	8	1	660	660	246	246	1.000000	false	0
