#time	uid	from	to	dest	grp	keep_via
901	2957	886	0	637	637	0
901	4085	204	0	95	95	0
901	4930	834	0	637	637	0
901	55	886	0	637	637	0
901	2571	136	0	265	265	0
901	2693	136	0	265	265	0
901	2005	605	0	370	370	0
901	3379	834	0	637	637	0
901	157	886	0	637	637	0
901	2954	834	0	637	637	0
901	3220	834	0	637	637	0
901	3272	204	0	95	95	0
901	236	136	0	265	265	0
901	3293	136	0	265	265	0
901	248	886	0	637	637	0
901	4455	136	0	265	265	0
901	2108	136	0	265	265	0
901	298	605	0	370	370	0
901	3716	605	0	370	370	0
901	2981	204	0	95	95	0
901	4451	605	0	370	370	0
901	2980	834	0	637	637	0
901	4391	834	0	637	637	0
901	452	204	0	95	95	0
901	4227	834	0	637	637	0
901	2328	204	0	95	95	0
901	4469	605	0	370	370	0
901	2972	136	0	265	265	0
901	4623	834	0	637	637	0
901	4398	834	0	637	637	0
901	3042	834	0	637	637	0
901	3817	605	0	370	370	0
901	693	605	0	370	370	0
901	2057	204	0	95	95	0
901	4187	834	0	637	637	0
901	3550	605	0	370	370	0
901	3835	136	0	265	265	0
901	4487	605	0	370	370	0
901	3519	834	0	637	637	0
901	792	605	0	370	370	0
901	4082	834	0	637	637	0
901	4286	136	0	265	265	0
901	4827	886	0	637	637	0
901	3622	605	0	370	370	0
901	2734	605	0	370	370	0
901	910	136	0	265	265	0
901	2760	136	0	265	265	0
901	1838	605	0	370	370	0
901	1852	136	0	265	265	0
901	2135	605	0	370	370	0
901	2019	204	0	95	95	0
901	4052	605	0	370	370	0
901	1840	204	0	95	95	0
901	3119	834	0	637	637	0
901	4356	834	0	637	637	0
901	2907	605	0	370	370	0
901	1016	605	0	370	370	0
901	1953	834	0	637	637	0
901	3512	834	0	637	637	0
901	3476	605	0	370	370	0
901	2778	136	0	265	265	0
901	1072	605	0	370	370	0
901	2559	204	0	95	95	0
901	2726	605	0	370	370	0
901	2138	605	0	370	370	0
901	4657	605	0	370	370	0
901	3145	605	0	370	370	0
901	2565	834	0	637	637	0
901	4698	834	0	637	637	0
901	4553	204	0	95	95	0
901	3740	204	0	95	95	0
901	1278	834	0	637	637	0
901	3809	204	0	95	95	0
901	2288	605	0	370	370	0
901	2939	136	0	265	265	0
901	4872	605	0	370	370	0
901	4419	834	0	637	637	0
901	4086	605	0	370	370	0
902	3057	136	0	265	265	0
902	4890	605	0	370	370	0
902	2831	605	0	370	370	0
902	212	834	0	637	637	0
902	1774	605	0	370	370	0
902	879	605	0	370	370	0
902	2276	136	0	265	265	0
902	2867	834	0	637	637	0
902	3456	605	0	370	370	0
902	4291	605	0	370	370	0
903	1536	605	0	370	370	0
903	96	204	0	95	95	0
903	4406	605	0	370	370	0
903	3088	834	0	637	637	0
903	162	605	0	370	370	0
903	2510	834	0	637	637	0
903	3745	834	0	637	637	0
903	229	204	0	95	95	0
903	322	834	0	637	637	0
903	333	605	0	370	370	0
903	3793	605	0	370	370	0
903	2196	136	0	265	265	0
903	3938	136	0	265	265	0
903	4853	834	0	637	637	0
903	4031	886	0	637	637	0
903	1046	834	0	637	637	0
903	4334	605	0	370	370	0
903	3838	834	0	637	637	0
903	1145	605	0	370	370	0
903	1170	605	0	370	370	0
903	4866	886	0	637	637	0
903	4695	136	0	265	265	0
903	4426	204	0	95	95	0
903	4767	834	0	637	637	0
904	51	834	0	637	637	0
904	3776	605	0	370	370	0
904	2115	605	0	370	370	0
904	2685	886	0	637	637	0
904	205	834	0	637	637	0
904	3017	204	0	95	95	0
904	715	605	0	370	370	0
904	3197	834	0	637	637	0
904	3839	605	0	370	370	0
904	3879	605	0	370	370	0
904	4101	605	0	370	370	0
904	3435	834	0	637	637	0
904	1868	136	0	265	265	0
904	1013	834	0	637	637	0
904	2123	605	0	370	370	0
904	3998	834	0	637	637	0
904	3274	886	0	637	637	0
904	4230	136	0	265	265	0
904	3746	204	0	95	95	0
905	163	834	0	637	637	0
905	3376	605	0	370	370	0
905	3542	605	0	370	370	0
905	4345	834	0	637	637	0
905	3405	605	0	370	370	0
905	505	834	0	637	637	0
905	588	834	0	637	637	0
905	3696	605	0	370	370	0
905	2606	605	0	370	370	0
905	817	834	0	637	637	0
905	4508	886	0	637	637	0
905	4643	605	0	370	370	0
905	957	204	0	95	95	0
905	4857	605	0	370	370	0
905	1028	605	0	370	370	0
905	3596	136	0	265	265	0
905	2544	834	0	637	637	0
905	1396	204	0	95	95	0
905	1442	136	0	265	265	0
906	4576	204	0	95	95	0
906	65	834	0	637	637	0
906	2198	204	0	95	95	0
906	3619	605	0	370	370	0
906	2490	834	0	637	637	0
906	219	834	0	637	637	0
906	287	136	0	265	265	0
906	3939	605	0	370	370	0
906	4142	605	0	370	370	0
906	680	886	0	637	637	0
906	3124	834	0	637	637	0
906	924	605	0	370	370	0
906	1025	605	0	370	370	0
906	3706	605	0	370	370	0
906	1107	605	0	370	370	0
906	3401	834	0	637	637	0
906	1578	136	0	265	265	0
906	2372	834	0	637	637	0
907	95	605	0	370	370	0
907	4908	834	0	637	637	0
907	2963	136	0	265	265	0
907	4708	605	0	370	370	0
907	3420	834	0	637	637	0
907	691	886	0	637	637	0
907	752	834	0	637	637	0
907	2971	834	0	637	637	0
907	2195	136	0	265	265	0
907	993	605	0	370	370	0
907	1065	204	0	95	95	0
907	1118	605	0	370	370	0
907	2082	605	0	370	370	0
907	3721	834	0	637	637	0
907	1320	605	0	370	370	0
907	3465	204	0	95	95	0
907	4868	886	0	637	637	0
907	3843	605	0	370	370	0
907	3479	834	0	637	637	0
908	3685	605	0	370	370	0
908	1978	834	0	637	637	0
908	2651	834	0	637	637	0
908	2039	834	0	637	637	0
908	4482	204	0	95	95	0
908	502	886	0	637	637	0
908	605	834	0	637	637	0
908	3446	605	0	370	370	0
908	1888	605	0	370	370	0
908	3310	834	0	637	637	0
908	952	605	0	370	370	0
908	3381	605	0	370	370	0
908	4349	605	0	370	370	0
908	1067	204	0	95	95	0
908	1069	605	0	370	370	0
908	1189	834	0	637	637	0
908	2724	136	0	265	265	0
908	2426	136	0	265	265	0
909	2936	605	0	370	370	0
909	4407	204	0	95	95	0
909	231	886	0	637	637	0
909	4724	605	0	370	370	0
909	4537	204	0	95	95	0
909	4312	886	0	637	637	0
909	580	136	0	265	265	0
909	3117	136	0	265	265	0
909	2757	605	0	370	370	0
909	4803	834	0	637	637	0
909	3682	605	0	370	370	0
909	3224	834	0	637	637	0
909	3096	834	0	637	637	0
909	3195	605	0	370	370	0
909	4158	605	0	370	370	0
909	1696	834	0	637	637	0
909	1448	834	0	637	637	0
910	3727	136	0	265	265	0
910	4936	605	0	370	370	0
910	2484	834	0	637	637	0
910	3599	605	0	370	370	0
910	3410	834	0	637	637	0
910	4002	834	0	637	637	0
910	3929	204	0	95	95	0
910	1021	605	0	370	370	0
910	1040	605	0	370	370	0
910	1079	834	0	637	637	0
910	1090	136	0	265	265	0
