#time	id	act	node	grp	dest	new_grp	prob	keep_via	via
1	1	1	56	56	82	82	1.000000	false	0
301	1	99	56	56	82	82	1.000000	false	0
301	2	1	605	605	204	204	1.000000	false	0
601	2	99	605	605	204	204	1.000000	false	0
601	3	1	56	56	274	274	1.000000	false	0
601	2	1	605	605	204	204	1.000000	false	0
901	3	99	56	56	274	274	1.000000	false	0
901	2	99	605	605	204	204	1.000000	false	0
901	4	1	136	136	265	265	1.000000	false	0
901	5	1	204	204	95	95	1.000000	false	0
901	6	1	605	605	274	274	1.000000	false	0
901	7	1	834	834	637	637	1.000000	false	0
901	8	1	886	886	637	637	1.000000	false	0
1201	4	99	136	136	265	265	1.000000	false	0
1201	5	99	204	204	95	95	1.000000	false	0
1201	6	99	605	605	274	274	1.000000	false	0
1201	7	99	834	834	637	637	1.000000	false	0
1201	8	99	886	886	637	637	1.000000	false	0
1201	9	1	56	56	259	259	1.000000	false	0
1201	4	1	136	136	265	265	1.000000	false	0
1201	5	1	204	204	95	95	1.000000	false	0
1201	10	1	488	488	296	296	1.000000	false	0
1201	6	1	605	605	274	274	1.000000	false	0
1201	11	1	637	637	370	370	1.000000	false	0
1201	12	1	660	660	246	246	1.000000	false	0
1201	13	1	834	834	370	370	1.000000	false	0
1201	14	1	886	886	370	370	1.000000	false	0
1501	9	99	56	56	259	259	1.000000	false	0
1501	4	99	136	136	265	265	1.000000	false	0
1501	5	99	204	204	95	95	1.000000	false	0
1501	10	99	488	488	296	296	1.000000	false	0
1501	6	99	605	605	274	274	1.000000	false	0
1501	11	99	637	637	370	370	1.000000	false	0
1501	12	99	660	660	246	246	1.000000	false	0
1501	13	99	834	834	370	370	1.000000	false	0
1501	14	99	886	886	370	370	1.000000	false	0
1501	3	1	56	56	274	274	1.000000	false	0
1501	4	1	136	136	265	265	1.000000	false	0
1501	5	1	204	204	95	95	1.000000	false	0
1501	10	1	488	488	296	296	1.000000	false	0
1501	6	1	605	605	274	274	1.000000	false	0
1501	11	1	637	637	370	370	1.000000	false	0
